GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spa Application,com.spa.demo.frontend.Restaurant,Restaurant.Type,57,0,0,0,2,0,1,0,1,0
Spa Application,com.spa.demo.frontend.Restaurant,Food,21,0,0,0,8,0,4,0,4,0
Spa Application,com.spa.demo.frontend.Restaurant,Restaurant,33,0,0,0,14,0,7,0,7,0
Spa Application,com.spa.demo.frontend.Restaurant,RestaurantUtils,47,0,2,0,13,0,3,0,2,0
Spa Application,com.spa.demo.frontend.Restaurant,identificationController,4,0,0,0,2,0,2,0,2,0
Spa Application,com.spa.demo,SpringManager,57,0,0,0,12,0,7,0,7,0
Spa Application,com.spa.demo,SpaApplication,19,103,0,4,6,32,1,4,1,2
Spa Application,com.spa.demo.backend,Identification,641,0,66,0,25,0,82,0,49,0
Spa Application,com.spa.demo.backend,Restaurant.RestaurantBuilder,10,35,0,0,0,1,1,6,1,6
Spa Application,com.spa.demo.backend,Cupboard.CupboardBuilder,37,0,0,0,1,0,6,0,6,0
Spa Application,com.spa.demo.backend,Identification.IdentificationBuilder,200,0,0,0,1,0,24,0,24,0
Spa Application,com.spa.demo.backend,Services,164,50,28,0,2,7,21,10,7,10
Spa Application,com.spa.demo.backend,Services.ServicesBuilder,17,37,0,0,0,1,2,6,2,6
Spa Application,com.spa.demo.backend,Registration.RegistrationBuilder,82,0,0,0,1,0,11,0,11,0
Spa Application,com.spa.demo.backend,Restaurant,154,34,26,0,1,7,21,7,8,7
Spa Application,com.spa.demo.backend,Cupboard,138,0,18,0,7,0,22,0,13,0
Spa Application,com.spa.demo.backend,Registration,370,0,64,0,12,0,55,0,23,0
Spa Application,com.spa.demo.web,WebController,2,3,0,0,1,1,1,1,1,1
Spa Application,com.spa.demo.frontend.Cassa.Utils,WindowHandlerUtils,87,0,2,0,27,0,8,0,7,0
Spa Application,com.spa.demo.frontend.Cassa.Utils,PopUpWindows,39,0,0,0,13,0,3,0,3,0
Spa Application,com.spa.demo.frontend.Cassa.Utils,JavaFxElementModifier,45,0,4,0,7,0,5,0,3,0
Spa Application,com.spa.demo.frontend.Cassa.Models,Buyer,273,27,26,0,53,10,33,1,19,1
Spa Application,com.spa.demo.frontend.Cassa.Models,PersonId,607,0,8,0,90,0,53,0,49,0
Spa Application,com.spa.demo.frontend.Cassa,CheckID,245,0,20,0,62,0,17,0,7,0
Spa Application,com.spa.demo.frontend.Cassa,UploadBalance,285,0,24,0,66,0,20,0,8,0
Spa Application,com.spa.demo.frontend.Cassa,RemoveCustomer,96,0,8,0,27,0,9,0,5,0
Spa Application,com.spa.demo.frontend.Cassa,MainPageController,67,0,0,0,17,0,5,0,5,0
Spa Application,com.spa.demo.frontend,Main,23,8,0,0,8,2,2,2,2,2
Spa Application,com.spa.demo.frontend,IndexController,59,0,0,0,15,0,3,0,3,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,AddCustomerController.new ChangeListener() {...},39,0,6,0,8,0,5,0,2,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,TicketAndServicesController.new ChangeListener() {...},35,0,4,0,8,0,4,0,2,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,TicketAndServicesController,624,0,36,0,147,0,32,0,14,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,AddCustomerController.new ChangeListener() {...},22,0,2,0,5,0,3,0,2,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,IdHandlerController,222,3,14,0,59,1,15,1,8,1
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,ServicesAddController,324,0,30,0,76,0,32,0,11,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,TicketsAddController,355,0,46,0,91,0,45,0,11,0
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,AddCustomerController,482,14,50,0,96,2,31,1,5,1
Spa Application,com.spa.demo.frontend.Cassa.addcustomerControllers,SummaryController,184,0,10,0,42,0,9,0,4,0
